,title,subtitle,link
0,BARNSTORMING,Barnsley beat Bolton to set up all-Yorkshire final against Sheffield Wednesday,https://www.thesun.co.uk/sport/22420314/barnsley-bolton-sheffield-wednesday/
1,JUR KIDDING,"Liverpool boss Jurgen Klopp could REFUSE to pay £75,000 fine for ref comments",https://www.thesun.co.uk/sport/22419980/liverpool-jurgen-klopp-fa-fine/
2,KARREN BRADY,"Moyes' reign is capped by Euro showpiece, it's vital to block out the noise",https://www.thesun.co.uk/sport/22419231/david-moyes-west-ham-karren-brady/
3,TROY DEENEY,Spurs should look across London for their next manager at Brentford's Frank,https://www.thesun.co.uk/sport/22419225/tottenham-brentford-frank-deeney/
4,CASH OUT QUICK!,Fast withdrawal casinos: Best instant withdrawal casinos in the UK,https://www.thesun.co.uk/betting/21287535/fast-withdrawal-casinos/
5,BLOOD ON THE STANDS,Inside AZ Ultras firm & their bloody history of stabbings & pipe bombs,https://www.thesun.co.uk/sport/22419077/az-alkmaar-ben-side-ultras-stabbings-pipe-bombs/
6,OF TWO MINDS,Levy ‘narrows Tottenham manager search down to two’ ahead of talks,https://www.thesun.co.uk/sport/22418888/levy-slot-enrique-tottenham-spurs-conte/
7,SAINT MARTIN,Southampton 'closing in' on naming ex-Norwich and Rangers star as new boss,https://www.thesun.co.uk/sport/22419430/martin-southampton-norwich-rangers-selles/
8,BID OF ALRIGHT,Man Utd takeover bidder Sir Jim Ratcliffe now the UK's SECOND RICHEST person,https://www.thesun.co.uk/sport/22418825/man-utd-sir-jim-ratcliffe-net-worth/
9,RAM IT HOME,Arsenal keeper Ramsdale hits back at 'bottled it jibes' after signing new deal,https://www.thesun.co.uk/sport/22419418/arsenal-aaron-ramsdale-bottled-it/
10,TOP OFFER,Football betting offer of the day: Get £30 in free bets with Bet UK,https://www.thesun.co.uk/sport/20468877/football-sign-up-offer-free-bets-bet-uk/
11,TITLE,Man City vs Chelsea free bets: Get £30 welcome bonus with BoyleSports,https://www.thesun.co.uk/sport/22402909/man-city-chelsea-boylesports-free-bets/
12,BIG DEAL,Champions League: Claim £30 in free football accas when you bet £10 at Ladbrokes,https://www.thesun.co.uk/sport/betting-tips/19780272/ladbrokes-football-free-bets/
13,BARKING MAD,Mikel Arteta brings dog called 'Win' to Arsenal training to boost morale,https://www.thesun.co.uk/sport/22413594/arteta-brings-dog-win-arsenal-training-morale-boost/
14,OVER THE HUMPH,Jake Humphrey leaving BT Sport after decade fronting TV channel,https://www.thesun.co.uk/sport/22415396/jake-humprey-leaving-bt-sport/
15,HAD HIS PHIL,Ten Hag says he only saw Jones train for ‘20 MINUTES’ as Man Utd confirm exit,https://www.thesun.co.uk/sport/22416616/ten-hag-jones-train-20-minutes-man-utd/
16,LAUR-SOME,Woods leaves fans in stitches as she brutally shuts down vile sexist troll,https://www.thesun.co.uk/sport/22415345/laura-woods-brutal-sexist-troll-comeback/
17,COMP,"Win a Ferrari or £120,000 cash alternative from just 89p with our discount code",https://www.thesun.co.uk/sport/betting-tips/18918779/win-car-competition-7dp/
18,UNDER ATTACK,West Ham fan hailed for singlehandedly fending off Dutch hooligans,https://www.thesun.co.uk/sport/22409485/west-ham-fan-az-alkmaar-hooligans-fight/
19,HAMMERED,Watch wild West Ham party as stars sing X-rated song about Bowen and Wag Dani Dyer,https://www.thesun.co.uk/sport/22410153/west-ham-dressing-room-celebration-jarrod-bowen-dani-dyer/
20,PANTS ON FIRE,Haaland sends sales of clothing item skyrocketing after Noel Gallagher pic,https://www.thesun.co.uk/sport/22411021/haaland-noel-gallagher-y-fronts-pants-sales/
21,HAMMERS SCARE,Ex-West Ham star caught up in AZ Alkmaar attack with Moyes' elderly father,https://www.thesun.co.uk/sport/22409688/west-ham-hooligans-az-alkmaar-marlon-harewood-david-moyes/
22,FOR PETE'S SAKE,Peter Crouch forced to explain why he was secretly filming underwear shop,https://www.thesun.co.uk/sport/22417441/peter-crouch-abbey-clancy/
23,OWL GOOD?,Sheffield Wednesday fan who RIPPED UP ticket goes viral after miracle comeback,https://www.thesun.co.uk/sport/22409830/sheffield-wednesday-fan-ripped-up-ticket-comeback-peterborough/
24,MORE THAN A PHIL-ING,Jones presented with amazing memento by Man Utd after announcing exit,https://www.thesun.co.uk/sport/22412979/phil-jones-memento-man-utd-exit/
25,FAN CHAOS,Moment fan clatters into LINESMAN in chaotic scenes after Sheff Weds thriller,https://www.thesun.co.uk/sport/22409955/moment-pitch-invader-clatters-linesman-sheffield-wednesday/
26,OWL ABOUT THAT!,Fans hail 'greatest comeback ever' as Sheffield Weds come from 4-0 DOWN,https://www.thesun.co.uk/sport/22408383/sheffield-wednesday-liam-palmer-play-offs/
27,MOORE MAGIC,Moore reveals inspiring secret behind Sheffield Wednesday’s incredible comeback,https://www.thesun.co.uk/sport/22413461/darren-moore-sheffield-wednesday-play-off-comeback-secret/
28,CARR BLIMEY,West Ham cult hero Carroll shocks fans by partying with them ahead of Euro tie,https://www.thesun.co.uk/sport/22407013/west-ham-carroll-az/
29,IRONED OUT,Watch celebrating West Ham fan accidentally smack himself in the face with BENCH,https://www.thesun.co.uk/sport/22415947/west-ham-fan-hilariously-celebrates-video/
30,NOT IN A HARRY,Man Utd warned NOT to sign Kane as it'll lead to nightmare scenario,https://www.thesun.co.uk/sport/22411086/man-utd-harry-kane-transfer-andy-cole/
31,'ABSOLUTELY STANK',I'm ex-Utd star and got kicked out of car because I couldn't hold it in,https://www.thesun.co.uk/sport/22418161/man-utd-luke-chadwick-car/
